COU,Country,Value
AUS,Australia,6.7487
AUT,Austria,12.22494
BEL,Belgium,12.7263
CAN,Canada,7.09026
CZE,Czech Republic,16.96525
DNK,Denmark,9.78493
FIN,Finland,5.63829
FRA,France,11.36678
DEU,Germany,11.92769
GRC,Greece,14.3205
HUN,Hungary,16.59597
ISL,Iceland,6.37407
IRL,Ireland,7.84751
ITA,Italy,15.84764
JPN,Japan,13.64744
KOR,Korea,27.44749
LUX,Luxembourg,10.0889
MEX,Mexico,20.10763
NLD,Netherlands,12.03303
NZL,New Zealand,6.05027
NOR,Norway,6.66793
POL,Poland,22.76563
PRT,Portugal,8.1761
SVK,Slovak Republic,18.52632
ESP,Spain,9.99323
SWE,Sweden,5.72135
CHE,Switzerland,10.04367
TUR,Türkiye,26.85069
GBR,United Kingdom,10.02183
USA,United States,7.67611
G7M,G7,10.27089
AFG,Afghanistan,52.99812
ALB,Albania,18.45981
DZA,Algeria,32.91557
ASM,American Samoa (Eastern Samoa),6.35038
AND,Andorra,9.51265
AGO,Angola,28.02152
AIA,Anguilla,8.72825
ATG,Antigua & Barbuda,17.62028
ARG,Argentina,13.84671
ARM,Armenia,34.24106
ABW,Aruba,8.5267
AZE,Azerbaijan,26.26906
BHS,The Bahamas,15.2567
BHR,Bahrain,58.66163
BGD,Bangladesh,63.54533
BRB,Barbados,21.04115
BLR,Belarus,16.57188
BLZ,Belize,20.45305
BEN,In dispute Benin/Burkina Faso,46.23708
BMU,Bermuda,7.08401
BTN,Bhutan,40.3737
BOL,Bolivia,27.48764
BIH,Bosnia & Herzegovina,30.28742
BWA,Botswana,25.32941
BRA,Brazil,11.66552
VGB,British Virgin Is.,8.87929
BRN,Brunei,7.72029
BGR,Bulgaria,19.92702
BFA,Burkina Faso,53.68486
BDI,Burundi,33.32371
KHM,Cambodia,22.13588
CMR,Cameroon,66.15428
CPV,Cabo Verde,50.88585
CYM,Cayman Is.,7.83108
CAF,Central African Republic,46.89668
TCD,Chad,59.42594
CHL,Chile,23.68317
CHN,China,47.72902
COL,Colombia,22.5254
COM,Comoros,17.0261
COG,"Congo, DRC",39.25027
COK,Cook Is.,6.33352
CRI,Costa Rica,17.43615
CIV,Côte d'Ivoire,55.9251
HRV,Croatia,18.22689
CUB,Cuba,17.95487
CYP,Cyprus,15.7934
PRK,Democratic People's Republic of Korea,45.18309
COD,Democratic Republic of the Congo,36.27272
DJI,Djibouti,43.98848
DMA,Dominica,18.39629
DOM,Dominican Republic,18.14536
ECU,Ecuador,20.60601
EGY,Egypt,67.91512
SLV,El Salvador,22.34945
GNQ,Equatorial Guinea,47.03413
ERI,Eritrea,44.77914
EST,Estonia,5.94962
ETH,Ethiopia,33.83347
FRO,Faeroe Islands,7.35377
FLK,Falkland Is.,7.02359
FJI,Fiji,10.85933
PYF,French Polynesia,6.62968
GAB,Gabon,37.43801
GMB,The Gambia,58.2145
GEO,South Georgia & the South Sandwich Is.,18.24743
GHA,Ghana,54.4758
GIB,Gibraltar (UK),13.1925
GRL,Greenland,6.47841
GRD,Grenada,21.38449
GUM,Guam,8.24133
GTM,Guatemala,27.81365
GIN,Guinea,52.82294
GNB,Guinea-Bissau,54.01773
GUY,Guyana,20.40551
HTI,Haiti,19.32223
VAT,Holy See,17.8034
HND,Honduras,22.92625
HKG,Hong Kong (China),23.9051
IND,India,83.30377
IDN,Indonesia,19.67376
IRN,Iran,39.00154
IRQ,Iraq,49.61657
ISR,Israel,19.42415
JAM,Jamaica,16.24505
JOR,Jordan,30.12999
KAZ,Kazakhstan,21.045
KEN,Kenya,21.53547
KIR,Kiribati,9.62379
KWT,Kuwait,62.67314
KGZ,Kyrgyzstan,24.60486
LAO,Lao People's Democratic Republic,20.76857
LVA,Latvia,12.7076
LBN,Lebanon,29.04762
LSO,Lesotho,27.79676
LBR,Liberia,50.63222
LBY,Libya,35.98622
LIE,Liechtenstein,10.1492
LTU,Lithuania,10.4691
MKD,Macedonia,32.6682
MDG,Madagascar,17.8598
MWI,Malawi,22.33194
MYS,Malaysia,16.55023
MDV,Maldives,10.89224
MLI,Mali,60.6721
MLT,Malta,13.0654
MHL,Marshall Is.,9.34688
MRT,Mauritania,66.54714
MUS,Mauritius,15.26528
FSM,Micronesia,10.4871
MDA,Moldova,13.95982
MCO,Monaco,11.6987
MNG,Mongolia,42.28819
MSR,Montserrat,9.18139
MAR,Morocco,34.99173
MOZ,Mozambique,20.71532
MMR,Myanmar,29.91018
NAM,Namibia,24.23679
NRU,Nauru,5.85717
NPL,Nepal,82.82545
ANT,Netherlands Antilles,8.75029
NCL,New Caledonia,7.27167
NIC,Nicaragua,20.53888
NER,Niger,80.07251
NGA,Nigeria,70.49678
NIU,Niue,6.83692
NFK,Norfolk Islands,6.10957
MNP,Northern Mariana Is.,8.17446
PSE,Palestinian Authority or West Bank and Gaza Strip,32.55579
OMN,Oman,44.23674
PAK,Pakistan,63.86198
PLW,Palau,6.88113
PAN,Panama,13.22791
PNG,Papua New Guinea,16.04683
PRY,Paraguay,12.84044
PER,Peru,31.0593
PHL,Philippines,18.79358
PCN,Pitcairn Is.,6.31587
PRI,Puerto Rico,6.90966
QAT,Qatar,77.11195
ROU,Romania,15.06436
RUS,Russia,11.77739
RWA,Rwanda,36.22432
SHN,St. Helena,8.02421
KNA,Saint Kitts and Nevis,8.85081
LCA,Saint Martin (France),20.83464
SPM,St. Pierre & Miquelon,8.87548
VCT,Saint Vincent and the Grenadines,21.09771
WSM,Samoa,10.8332
SMR,San Marino,9.99181
STP,Sao Tome & Principe,31.32731
SAU,Saudi Arabia,64.06007
SEN,Senegal,60.17498
SYC,Seychelles,15.50187
SLE,Sierra Leone,51.27564
SGP,Singapore,19.0006
SVN,Slovenia,17.06109
SLB,Solomon Is.,12.8568
SOM,Somalia,30.14888
ZAF,South Africa,28.32529
LKA,Sri Lanka,19.96277
SDN,Sudan,56.03598
SUR,Suriname,21.62903
SWZ,Eswatini,23.36699
SYR,Syria,31.33487
TWN,Chinese Taipei,23.5335
TJK,Tajikistan,39.90629
TZA,Tanzania,24.60327
THA,Thailand,27.32291
TLS,Timor-Leste,15.75327
TGO,Togo,46.12588
TKL,Tokelau,6.84874
TON,Tonga,10.5611
TTO,Trinidad & Tobago,22.07242
TUN,Tunisia,30.55062
TKM,Turkmenistan,25.30906
TCA,Turks & Caicos Is.,7.59241
TUV,Tuvalu,6.11212
UGA,Uganda,35.2285
UKR,Ukraine,14.70064
ARE,United Arab Emirates,43.0844
URY,Uruguay,9.57094
UZB,Uzbekistan,36.352
VUT,Vanuatu,12.7414
VEN,Venezuela,22.21524
VNM,Viet Nam,20.19471
VIR,Virgin Is.,9.23292
WLF,Wallis & Futuna,6.57847
YEM,Yemen,44.64506
ZMB,Zambia,25.92371
ZWE,Zimbabwe,20.84664
ESH,Western Sahara,46.43391
WLD,World,42.53137
MAC,Macau (China),28.4314
CXR,Christmas I.,8.05843
CCK,Cocos Is.,7.87456
ASEAN,ASEAN,21.22272
SRB,Serbia,25.50415
MNE,Montenegro,22.3224
GGY,Guernsey,9.56168
IMN,Isle of Man,7.63994
JEY,Jersey,9.62534
G20,G20,43.64692
BRIICS,"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa",55.30773
SSD,South Sudan ,38.67224
EU28,European Union (28 countries),13.03459
OECD,OECD - Total,13.92701
OECDE,OECD - Europe,14.64343
EA19,Euro area (19 countries),12.20832
EU27_2020,European Union – 27 countries (from 01/02/2020),13.47546
OECDAO,OECD Asia Oceania,16.17214
OECDAM,OECD America,12.32435
EECCA,"Eastern Europe, Caucasus and Central Asia",17.75293
LAC,Latin America and Caribbean,17.84646
MENA,Middle East and North Africa,46.75412
